Factura;Fecha;Zona;Ciudad;Vendedor;Producto;Color;Cantidad;V. unitario;V. total
1;1/01/2021;Centro;Barranquilla;Claudia;Zapatos;Verde;6;84000;504000
1;3/01/2021;Norte;Medellín;Claudia;Buzo;Negro;24;52000;1248000
2;3/01/2021;Norte;Barranquilla;Fernanda;Pantalón;Blanco;34;60000;2040000
3;4/01/2021;Norte;Cali;Claudia;Falda;Negro;33;65000;2145000
3;4/01/2021;Sur;Medellín;Erika;Buzo;Rojo;31;52000;1612000
3;5/01/2021;Sur;Bucaramanga;Erika;Chaqueta;Negro;16;130000;2080000
4;5/01/2021;Sur;Medellín;Erika;Falda;Negro;12;65000;780000
5;5/01/2021;Centro;Bogotá;Erika;Falda;Azul;39;65000;2535000
5;6/01/2021;Norte;Cartagena;Erika;Chaqueta;Blanco;21;130000;2730000
5;6/01/2021;Centro;Bogotá;Sonia;Chaqueta;Negro;18;130000;2340000
6;7/01/2021;Centro;Cali;Erika;Falda;Fucsia;1;65000;65000
7;8/01/2021;Sur;Barranquilla;Sonia;Buzo;Amarillo;31;52000;1612000
7;9/01/2021;Norte;Barranquilla;Fernanda;Zapatos;Amarillo;33;84000;2772000
8;9/01/2021;Norte;Medellín;Erika;Zapatos;Verde;14;84000;1176000
8;10/01/2021;Sur;Barranquilla;Erika;Camisa;Gris;50;45000;2250000
9;10/01/2021;Norte;Cali;Erika;Zapatos;Blanco;45;84000;3780000
9;11/01/2021;Centro;Cartagena;Sonia;Chaqueta;Amarillo;22;130000;2860000
10;12/01/2021;Norte;Bucaramanga;Sonia;Camisa;Azul;44;45000;1980000
11;12/01/2021;Sur;Medellín;Fernanda;Zapatos;Rojo;45;84000;3780000
11;12/01/2021;Centro;Cartagena;Fernanda;Pantalón;Verde;3;60000;180000
11;13/01/2021;Norte;Medellín;Fernanda;Camisa;Verde;5;45000;225000
12;13/01/2021;Sur;Barranquilla;Erika;Zapatos;Blanco;30;84000;2520000
12;13/01/2021;Centro;Cali;Erika;Zapatos;Negro;5;84000;420000
13;14/01/2021;Centro;Bucaramanga;Sonia;Falda;Blanco;32;65000;2080000
14;14/01/2021;Centro;Barranquilla;Claudia;Falda;Verde;16;65000;1040000
14;14/01/2021;Sur;Bogotá;Claudia;Pantalón;Verde;48;60000;2880000
15;15/01/2021;Norte;Bogotá;Sonia;Zapatos;Azul;35;84000;2940000
16;15/01/2021;Centro;Bucaramanga;Claudia;Chaqueta;Rojo;36;130000;4680000
16;17/01/2021;Sur;Bogotá;Erika;Camisa;Amarillo;16;45000;720000
16;17/01/2021;Norte;Barranquilla;Erika;Buzo;Blanco;20;52000;1040000
17;18/01/2021;Centro;Bucaramanga;Fernanda;Falda;Blanco;47;65000;3055000
17;18/01/2021;Centro;Bucaramanga;Fernanda;Falda;Amarillo;27;65000;1755000
18;18/01/2021;Norte;Bogotá;Fernanda;Falda;Negro;21;65000;1365000
18;18/01/2021;Centro;Bogotá;Claudia;Buzo;Blanco;30;52000;1560000
19;19/01/2021;Norte;Medellín;Fernanda;Buzo;Azul;17;52000;884000
20;19/01/2021;Centro;Medellín;Fernanda;Buzo;Fucsia;49;52000;2548000
21;19/01/2021;Sur;Bogotá;Sonia;Zapatos;Rojo;21;84000;1764000
21;19/01/2021;Sur;Bucaramanga;Claudia;Buzo;Gris;46;52000;2392000
22;20/01/2021;Sur;Medellín;Sonia;Zapatos;Rojo;35;84000;2940000
23;20/01/2021;Sur;Bogotá;Sonia;Pantalón;Azul;8;60000;480000
23;20/01/2021;Norte;Bucaramanga;Claudia;Chaqueta;Rojo;33;130000;4290000
24;20/01/2021;Centro;Medellín;Erika;Zapatos;Rojo;45;84000;3780000
25;20/01/2021;Centro;Cali;Claudia;Falda;Fucsia;16;65000;1040000
26;20/01/2021;Centro;Barranquilla;Claudia;Zapatos;Azul;2;84000;168000
26;21/01/2021;Norte;Bogotá;Claudia;Chaqueta;Negro;25;130000;3250000
27;21/01/2021;Centro;Cartagena;Fernanda;Chaqueta;Negro;19;130000;2470000
28;22/01/2021;Sur;Cartagena;Fernanda;Pantalón;Negro;18;60000;1080000
28;22/01/2021;Sur;Medellín;Claudia;Camisa;Gris;33;45000;1485000
28;22/01/2021;Centro;Cartagena;Claudia;Falda;Amarillo;48;65000;3120000
28;23/01/2021;Norte;Cali;Fernanda;Zapatos;Blanco;38;84000;3192000
29;23/01/2021;Sur;Bogotá;Sonia;Buzo;Azul;37;52000;1924000
29;23/01/2021;Norte;Bogotá;Fernanda;Chaqueta;Fucsia;35;130000;4550000
29;24/01/2021;Norte;Cartagena;Fernanda;Camisa;Verde;35;45000;1575000
29;24/01/2021;Centro;Cartagena;Sonia;Zapatos;Verde;26;84000;2184000
29;24/01/2021;Sur;Bogotá;Sonia;Chaqueta;Rojo;1;130000;130000
30;24/01/2021;Sur;Cali;Sonia;Buzo;Azul;6;52000;312000
31;25/01/2021;Centro;Barranquilla;Erika;Buzo;Rojo;11;52000;572000
32;26/01/2021;Sur;Medellín;Sonia;Pantalón;Azul;25;60000;1500000
33;26/01/2021;Norte;Bogotá;Erika;Zapatos;Rojo;1;84000;84000
34;26/01/2021;Norte;Bogotá;Claudia;Pantalón;Negro;38;60000;2280000
34;26/01/2021;NORTE;Cali;SONIA;Pantalon;verde;23;45000;450000
35;27/01/2021;Norte;Medellín;Erika;Chaqueta;Blanco;45;130000;5850000
